team_id,player_id,player_name,player_position,player_country
1765,1067,Rodolfo,Goalkeeper,Brazil
1765,1397,Agenor,Goalkeeper,Brazil
1765,11177,Marcos Felipe,Goalkeeper,Brazil
1765,45294,Muriel,Goalkeeper,Brazil
1765,1071,Frazan,Defender,Brazil
1765,1073,Gilberto,Defender,Brazil
1765,1238,Digão,Defender,Brazil
1765,1437,Léo Santos,Defender,Brazil
1765,1643,Matheus Ferraz,Defender,Brazil
1765,12650,Orinho,Defender,Brazil
1765,12806,Mascarenhas,Defender,Brazil
1765,12872,Nino,Defender,Brazil
1765,30308,Luccas Claro,Defender,Brazil
1765,73227,César Nunes,Defender,Brazil
1765,83846,Igor Julião,Defender,Brazil
1765,119622,Lucas,Defender,Brazil
1765,76,Ganso,Midfielder,Brazil
1765,1082,Caio,Midfielder,Brazil
1765,1084,Pablo Dyego,Midfielder,Brazil
1765,1085,Airton,Midfielder,Brazil
1765,1087,Dodi,Midfielder,Brazil
1765,1315,Yuri,Midfielder,Brazil
1765,1356,Nenê,Midfielder,Brazil
1765,1612,Caio Henrique,Midfielder,Brazil
1765,11011,Ewandro,Midfielder,Brazil
1765,12953,Daniel,Midfielder,Brazil
1765,22394,Yony González,Midfielder,Colombia
1765,56574,Allan,Midfielder,Brazil
1765,73778,Zé Ricardo,Midfielder,Brazil
1765,121960,Lucas Felipe Calegari,Midfielder,Brazil
1765,1360,Brenner,Attacker,Brazil
1765,1688,Guilherme,Attacker,Brazil
1765,13457,Lucão,Attacker,Brazil
1765,16489,Wellington Nem,Attacker,Brazil
1765,18920,Patrick Carvalho,Attacker,Brazil
1765,98578,Marcos Paulo,Attacker,Brazil
1765,103125,João Pedro,Attacker,Brazil
1765,118755,Miguel Silveira,Attacker,Brazil
1765,131260,Evanilson,Attacker,Brazil
1765,127655,Marcão,None,Brazil
1766,1095,Victor,Goalkeeper,Brazil
1766,1097,Uilson,Goalkeeper,Brazil
1766,1098,Cleiton,Goalkeeper,Brazil
1766,1099,Michael,Goalkeeper,Brazil
1766,13883,Wilson,Goalkeeper,Brazil
1766,72447,Fernando,Goalkeeper,Brazil
1766,1101,Léo Silva,Defender,Brazil
1766,1102,Patric,Defender,Brazil
1766,1103,Fábio Santos,Defender,Brazil
1766,1108,Maidana,Defender,Brazil
1766,1215,Igor Rabello,Defender,Brazil
1766,1534,Réver,Defender,Brazil
1766,12594,Guga,Defender,Brazil
1766,28576,Lucas Hernández,Defender,Uruguay
1766,61287,Carlos César,Defender,Brazil
1766,72763,Hulk,Defender,Brazil
1766,103126,Matheus Stockl,Defender,Brazil
1766,113806,Renan Guedes,Defender,Brazil
1766,1112,Juan Cazares,Midfielder,Ecuador
1766,1113,Rómulo Otero,Midfielder,Venezuela
1766,1114,Elias,Midfielder,Brazil
1766,1115,Adilson,Midfielder,Brazil
1766,1118,Gustavo Blanco,Midfielder,Brazil
1766,1121,Bruno Roberto,Midfielder,Brazil
1766,1381,Vinicius Goes,Midfielder,Brazil
1766,1505,Zé Welison,Midfielder,Brazil
1766,1549,Geuvânio,Midfielder,Brazil
1766,1587,Gabriel Oliveira,Midfielder,Brazil
1766,13192,Jair,Midfielder,Brazil
1766,45314,Nathan,Midfielder,Brazil
1766,99340,Neto,Midfielder,Brazil
1766,103127,Daniel Penha,Midfielder,Brazil
1766,110791,Ramón Martínez,Midfielder,Paraguay
1766,121916,Vitor Mendes,Midfielder,Brazil
1766,1123,Luan,Attacker,Brazil
1766,1126,Ricardo Oliveira,Attacker,Brazil
1766,1129,Alerrandro,Attacker,Brazil
1766,1292,Bruno Silva,Attacker,Brazil
1766,2106,Leandrinho,Attacker,Brazil
1766,3741,Yimmi Chará,Attacker,Colombia
1766,6508,Franco Di Santo,Attacker,Argentina
1766,28561,David Terans,Attacker,Uruguay
1766,30410,Maicon,Attacker,Brazil
1766,110874,Alessandro Vinícius,Attacker,Brazil
1766,20300,Rodrigo Santana,None,Brazil
1766,129455,Talison,None,Brazil
1767,1066,Júlio César,Goalkeeper,Brazil
1767,1134,Paulo Victor,Goalkeeper,Brazil
1767,97368,Phelipe Megiolaro,Goalkeeper,Brazil
1767,97506,Brenno,Goalkeeper,Brazil
1767,1135,Geromel,Defender,Brazil
1767,1136,Marcelo Oliveira,Defender,Brazil
1767,1138,Walter Kannemann,Defender,Argentina
1767,1140,Bruno Cortez,Defender,Brazil
1767,1141,Léo Moura,Defender,Brazil
1767,1143,Paulo Miranda,Defender,Brazil
1767,1300,David Braz,Defender,Brazil
1767,1439,Juninho Capixaba,Defender,Brazil
1767,1473,Rafael Galhardo,Defender,Brazil
1767,18203,Jhonata,Defender,Brazil
1767,18206,Rodrigues,Defender,Brazil
1767,118008,Gabriel,Defender,Brazil
1767,131258,Ruan,Defender,Brazil
1767,1147,Maicon,Midfielder,Brazil
1767,1149,Michel,Midfielder,Brazil
1767,1150,Leonardo Gomes,Midfielder,Brazil
1767,1153,Matheus Henrique,Midfielder,Brazil
1767,1154,Alisson,Midfielder,Brazil
1767,1156,Thaciano,Midfielder,Brazil
1767,1545,Rômulo,Midfielder,Brazil
1767,75716,Jean Pyerre,Midfielder,Brazil
1767,81657,Patrick,Midfielder,Brazil
1767,98308,Isaque,Midfielder,Brazil
1767,103499,Ferreira,Midfielder,Brazil
1767,115128,Darlan Mendes,Midfielder,Brazil
1767,1145,Luan,Attacker,Brazil
1767,1159,Éverton,Attacker,Brazil
1767,1165,André,Attacker,Brazil
1767,1166,Pepê,Attacker,Brazil
1767,1554,Felipe Vizeu,Attacker,Brazil
1767,21871,Diego Tardelli,Attacker,Brazil
1767,42901,Luciano,Attacker,Brazil
1767,105484,Guilherme,Attacker,Brazil
1767,115129,Vico,Attacker,Brazil
1767,121847,Da Silva,Attacker,Brazil
1767,131259,Jhonata Robert,Attacker,Brazil
1767,11124,Renato Gaúcho,None,Brazil
1767,115183,Victor Hugo,None,Brazil
1768,1662,Santos,Goalkeeper,Brazil
1768,1663,Caio,Goalkeeper,Brazil
1768,1664,Léo Vieira,Goalkeeper,Brazil
1768,1142,Madson,Defender,Brazil
1768,1306,Robson,Defender,Brazil
1768,1435,Pedro Henrique,Defender,Brazil
1768,1667,Thiago Heleno,Defender,Brazil
1768,1668,Paulo André,Defender,Brazil
1768,1672,Jonathan,Defender,Brazil
1768,11192,Léo Pereira,Defender,Brazil
1768,13905,Abner,Defender,Brazil
1768,15939,Adriano Correia,Defender,Brazil
1768,18398,José Walber,Defender,Brazil
1768,29194,Márcio Azevedo,Defender,Brazil
1768,113931,Lucas Halter,Defender,Brazil
1768,115559,Khellven,Defender,Brazil
1768,118800,Gabriel Fornari,Defender,Brazil
1768,1130,Tomás Andrade,Midfielder,Argentina
1768,1311,Léo Cittadini,Midfielder,Brazil
1768,1413,Everton Felipe,Midfielder,Brazil
1768,1482,Wellington,Midfielder,Brazil
1768,1677,Nikão,Midfielder,Brazil
1768,1680,Matheus Rossetto,Midfielder,Brazil
1768,1681,Lucho González,Midfielder,Argentina
1768,1684,Bruno Guimarães,Midfielder,Brazil
1768,1687,Camacho,Midfielder,Brazil
1768,12767,Bruno Nazário,Midfielder,Brazil
1768,18478,Erick,Midfielder,Brazil
1768,103142,Abner,Midfielder,Brazil
1768,110926,Vitor Naum,Midfielder,Brazil
1768,118802,Geovane,Midfielder,Brazil
1768,124810,Kawan,Midfielder,Brazil
1768,1163,Thonny Anderson,Attacker,Brazil
1768,1226,Rony,Attacker,Brazil
1768,1361,Bissoli,Attacker,Brazil
1768,12955,Pedrinho,Attacker,Brazil
1768,46027,Marco Rubén,Attacker,Argentina
1768,46548,Braian Romero,Attacker,Argentina
1768,72785,Marcelo,Attacker,Brazil
1768,113521,Jáderson,Attacker,Brazil
1768,72788,Tiago Nunes,None,Brazil
1768,118803,Gabriel Mesquita,None,Brazil
1768,122365,Vinicius Mingotti,None,Brazil
1769,1167,Fernando Prass,Goalkeeper,Brazil
1769,1168,Jaílson,Goalkeeper,Brazil
1769,1170,Weverton,Goalkeeper,Brazil
1769,1171,Edú Dracena,Defender,Brazil
1769,1173,Antônio Carlos,Defender,Brazil
1769,1174,Mayke,Defender,Brazil
1769,1176,Luan,Defender,Brazil
1769,1177,Diogo Barbosa,Defender,Brazil
1769,1178,Marcos Rocha,Defender,Brazil
1769,1181,Victor Luis,Defender,Brazil
1769,1741,Gustavo Gómez,Defender,Paraguay
1769,1773,Vitor Hugo,Defender,Brazil
1769,113808,Lucas Esteves,Defender,Brazil
1769,1182,Dudu,Midfielder,Brazil
1769,1184,Thiago Santos,Midfielder,Brazil
1769,1187,Felipe Melo,Midfielder,Brazil
1769,1188,Hyoran,Midfielder,Brazil
1769,1189,Bruno Henrique,Midfielder,Brazil
1769,1191,Lucas Lima,Midfielder,Brazil
1769,1214,Matheus Fernandes,Midfielder,Brazil
1769,1380,Zé Rafael,Midfielder,Brazil
1769,1686,Raphael Veiga,Midfielder,Brazil
1769,11196,Jean,Midfielder,Brazil
1769,13421,Carlos Eduardo,Midfielder,Brazil
1769,21833,Ramires,Midfielder,Brazil
1769,22598,Iván Angulo,Midfielder,Colombia
1769,72781,Gustavo Scarpa,Midfielder,Brazil
1769,117982,Lucas Bergantin,Midfielder,Brazil
1769,1194,Willian,Attacker,Brazil
1769,1195,Miguel Borja,Attacker,Colombia
1769,1196,Deyverson,Attacker,Brazil
1769,1559,Henrique Dourado,Attacker,Brazil
1769,16152,Luiz Adriano,Attacker,Brazil
1769,21411,Ricardo Goulart,Attacker,Brazil
1769,11123,Mano Menezes,None,Brazil
1769,75136,Wesley Carvalho,None,Brazil
1770,1198,Saulo,Goalkeeper,Brazil
1770,1199,Gatito Fernández,Goalkeeper,Paraguay
1770,8139,Diego Cavalieri,Goalkeeper,Brazil
1770,81896,Andrew,Goalkeeper,Brazil
1770,110875,Lucas Alves,Goalkeeper,Brazil
1770,1100,Gabriel,Defender,Brazil
1770,1201,Joel Carli,Defender,Argentina
1770,1202,Marcinho,Defender,Brazil
1770,1203,Marcelo Conceição,Defender,Brazil
1770,1204,Gilson,Defender,Brazil
1770,1205,Kanu,Defender,Brazil
1770,1209,Jean Irmer,Defender,Brazil
1770,110876,Lucas Barros,Defender,Brazil
1770,115073,Fernando,Defender,Brazil
1770,1152,Cícero,Midfielder,Brazil
1770,1213,Gustavo Bochecha,Midfielder,Brazil
1770,1216,João Paulo,Midfielder,Brazil
1770,1217,Marcos Vinícius,Midfielder,Brazil
1770,1218,Leonardo Valencia,Midfielder,Chile
1770,1220,Luiz Fernando,Midfielder,Brazil
1770,1221,Yuri,Midfielder,Brazil
1770,1354,Diego Souza,Midfielder,Brazil
1770,1609,Alex Santana,Midfielder,Brazil
1770,12814,Vinicius Tanque,Midfielder,Brazil
1770,39073,Alan Santos,Midfielder,Brazil
1770,83094,Rickson,Midfielder,Brazil
1770,97246,Wenderson,Midfielder,Brazil
1770,1223,Rodrigo Pimpão,Attacker,Brazil
1770,1224,Lucas Campos,Attacker,Brazil
1770,1227,Pachu,Attacker,Brazil
1770,39149,Vitinho,Attacker,Brazil
1770,73963,Igor Cássio,Attacker,Brazil
1770,73964,Rhuan,Attacker,Brazil
1770,117723,Eduardo Barroca,None,Brazil
1771,1230,Fábio,Goalkeeper,Brazil
1771,1231,Rafael,Goalkeeper,Brazil
1771,12869,Vinicius Melo,Goalkeeper,Brazil
1771,44235,Vitor Eudes,Goalkeeper,Brazil
1771,118009,Marlon,Goalkeeper,Brazil
1771,1233,Dedé,Defender,Brazil
1771,1234,Léo,Defender,Brazil
1771,1240,Egídio,Defender,Brazil
1771,1241,Edílson,Defender,Brazil
1771,1266,Fabrício Bruno,Defender,Brazil
1771,1307,Dodô,Defender,Brazil
1771,7551,Luis Orejuela,Defender,Colombia
1771,77470,Cacá,Defender,Brazil
